class,conf,x,y,z
stop sign,0.8960949778556824,0.6978265386652753,-0.5905788962709206,0.010409710448008938
stop sign,0.8722438812255859,0.7356657071758552,-0.548267547459556,0.025100047637954093
stop sign,0.8948075175285339,0.7192824457048241,-0.5556371828300505,-0.021962534155887267
stop sign,0.9117335081100464,0.7025475657714593,-0.5622910985499893,0.05412655986060144
stop sign,0.8175171613693237,0.6989942693516225,-0.5499800019626688,0.055508479887710016
stop sign,0.8104866743087769,0.7012203477673453,-0.557376414515879,0.025919830904062607
stop sign,0.5013630986213684,0.6941387813619091,-0.5847843882546055,0.03759123451074797
stop sign,0.572003960609436,0.7146274772035803,-0.6128203369953735,0.06744753166285464
stop sign,0.4896836578845978,0.6961063855009475,-0.6136479941316526,0.05073066930755932
stop sign,0.5303009152412415,0.6745699534530725,-0.6179148169457244,0.0629492036558687
stop sign,0.7892799377441406,0.693327301968659,-0.6174740898904912,0.10453041531420681
stop sign,0.7802616953849792,0.687842619106251,-0.5980184047880438,0.10000075457935778
stop sign,0.8215043544769287,0.6892496233225738,-0.5870031785273625,0.1001554388933159
stop sign,0.7952091097831726,0.6809630750606361,-0.5778190734638514,0.031013056008672713
stop sign,0.6453955769538879,0.6750097359147849,-0.5686135204277548,0.03374443963134249
stop sign,0.7162721753120422,0.6675584825885257,-0.5706676200665497,0.09437072401468694
stop sign,0.6756938695907593,0.6668956070678234,-0.5694558296606667,0.07378996481904357
stop sign,0.7413984537124634,0.6759811065976913,-0.5802254267804365,0.0657774055362739
stop sign,0.7430247068405151,0.6741660247955874,-0.5813440820797129,0.07177091206738972
stop sign,0.8102378249168396,0.6808989809215893,-0.588368859921272,0.08650346126928349
stop sign,0.7232105135917664,0.6812592546388769,-0.5769247672819208,0.016867341471957495
stop sign,0.7096429467201233,0.6776520228777376,-0.5744992041402054,0.01775520314111094
stop sign,0.7390738725662231,0.678045851934622,-0.5705886580655526,0.020177849924385025
stop sign,0.7518410682678223,0.683158633275954,-0.5664353356348039,0.02156329834776763
stop sign,0.7540138363838196,0.6819819137976864,-0.561367709307624,0.022833649224497432
stop sign,0.7387360334396362,0.676320515650465,-0.5650565033790271,0.023331003957410806
stop sign,0.7425298690795898,0.6817133288305608,-0.5560741871746053,0.025343957313935753
stop sign,0.7674449682235718,0.6819043162554852,-0.5555491300228341,0.02458529940427716
stop sign,0.7550244927406311,0.6782164361574239,-0.5578398243243565,0.025224917530224183
stop sign,0.7490125894546509,0.6741036199847712,-0.5624784811984287,0.023941223572900003
stop sign,0.7634541988372803,0.6832592334469418,-0.5569589222140773,0.024563215829307067
stop sign,0.7444508075714111,0.6792207258360263,-0.5621452788325432,0.021925110715343032
stop sign,0.750704824924469,0.6758756804431232,-0.5642019813832349,0.020961596778143923
stop sign,0.745331883430481,0.6838647001288662,-0.5606392620664676,0.01977106611689719
stop sign,0.7707684636116028,0.6786992802453926,-0.5775288094707164,0.020258157558567733
stop sign,0.6126385927200317,0.6733821854668007,-0.5727175483001963,0.010162188576601894
stop sign,0.6471672058105469,0.6887588153559161,-0.5575771106697057,0.014943417643807716
stop sign,0.8288262486457825,0.683098513084949,-0.5665769850496116,0.02105493571892214
stop sign,0.8325060606002808,0.6858931009543929,-0.5677521926171076,0.019177721657346478
stop sign,0.8273044228553772,0.6937694870623421,-0.5637438742611471,0.0201644293642802
stop sign,0.8228684663772583,0.6846653394067692,-0.5674660786820953,0.02082842952408462
stop sign,0.8322953581809998,0.689274942620766,-0.5607324883863747,0.022175927396733325
stop sign,0.8115736246109009,0.6834529741098851,-0.5621797868982263,0.02242122094145882
stop sign,0.8344729542732239,0.6832206334701696,-0.5623944139814514,0.022132564042226174
stop sign,0.8208897113800049,0.6810603203737742,-0.567573408460795,0.02304315765281409
stop sign,0.8099077939987183,0.6769851733224028,-0.5654376179389257,0.022597907990481017
stop sign,0.8256778120994568,0.6784409237964284,-0.5626065493306002,0.021626088762693882
stop sign,0.8139607906341553,0.6776252990446014,-0.562195313438875,0.02033895207871357
stop sign,0.8298032283782959,0.6760050357753347,-0.5666034951979668,0.01961610870508536
stop sign,0.8229076862335205,0.677637260585481,-0.5656166033224421,0.01964471748896604
stop sign,0.8396428823471069,0.679187673329753,-0.5623559281382919,0.018476013754705603
stop sign,0.8206096291542053,0.6781881573400632,-0.5700270045468753,0.017274811662120707
stop sign,0.8161472082138062,0.6851912933537618,-0.5628475172278777,0.016743719604703583
stop sign,0.8108730316162109,0.6815694138851325,-0.5697877170940956,0.01524144283873212
stop sign,0.8008448481559753,0.6793171154600404,-0.5639672889374332,0.01521428616298899
stop sign,0.8288400173187256,0.6864536310044684,-0.5654032225366404,0.014880344380812982
